Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Tackles + internceptions,Clearances,Errors
Fernando, BRA,FW,RB Salzburg,23,1999,0.7,1,0,0,0,1,1,2,50.0,1,3,0,3,1,2,0,0
Fernando, BRA,MF,Sevilla,35,1987,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Roberto Firmino, BRA,"FW,MF",Liverpool,30,1991,4.6,8,2,3,5,0,1,2,50.0,1,7,0,7,6,14,2,0
Phil Foden, ENG,"MF,FW",Manchester City,22,2000,4.3,5,4,2,1,2,2,3,66.7,1,3,0,3,5,10,0,0
Wesley Fofana, FRA,DF,Chelsea,21,2000,4.4,15,9,8,7,0,10,17,58.8,7,2,0,2,4,19,9,0
Bernardo Folha, POR,MF,Porto,20,2002,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
James Forrest, SCO,FW,Celtic,31,1991,1.0,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,1,0
Emil Forsberg, SWE,"MF,FW",RB Leipzig,30,1991,4.5,8,4,2,3,3,4,12,33.3,8,4,0,4,1,9,1,0
Fraser Forster, ENG,GK,Tottenham,34,1988,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Timothy Fosu-Mensah, NED,"MF,DF",Leverkusen,24,1998,0.1,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0
Lassina Franck Traoré, BFA,FW,Shakhtar,21,2001,2.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
André Franco, POR,MF,Porto,24,1998,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Jeremie Frimpong, NED,"MF,FW",Leverkusen,21,2000,4.2,8,5,3,3,2,7,11,63.6,4,4,1,3,5,13,7,0
Kyogo Furuhashi, JPN,FW,Celtic,27,1995,4.0,2,0,1,0,1,1,1,100.0,0,4,0,4,0,2,1,0
Matteo Gabbia, ITA,DF,Milan,22,1999,2.3,3,1,2,1,0,3,3,100.0,0,1,0,1,3,6,10,0
Gianluca Gaetano, ITA,MF,Napoli,22,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Roberto Gagliardini, ITA,MF,Inter,28,1994,1.3,6,2,1,3,2,1,4,25.0,3,8,0,8,2,8,1,0
Cody Gakpo, NED,"FW,MF",Liverpool,23,1999,1.7,6,5,2,1,3,4,5,80.0,1,4,1,3,1,7,1,0
Galeno, BRA,"FW,MF",Porto,24,1997,6.3,3,1,2,1,0,2,4,50.0,2,14,3,11,10,13,5,0
Conor Gallagher, ENG,MF,Chelsea,22,2000,3.3,9,6,4,3,2,4,9,44.4,5,0,0,0,5,14,4,0
Eric García, ESP,DF,Barcelona,21,2001,2.5,4,2,3,1,0,2,3,66.7,1,1,0,1,4,8,5,0
Federico Gatti, ITA,DF,Juventus,24,1998,2.0,2,2,2,0,0,2,4,50.0,2,3,1,2,2,4,7,0
Gavi, ESP,MF,Barcelona,17,2004,3.7,7,6,2,3,2,2,4,50.0,2,4,1,3,5,12,1,0
Gerson, BRA,MF,Marseille,25,1997,1.3,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0
Giorgos Giakoumakis, GRE,FW,Celtic,27,1994,2.7,4,3,1,0,3,0,2,0.0,2,5,0,5,4,8,3,0
Samuel Gigot, FRA,DF,Marseille,28,1993,2.8,0,0,0,0,0,0,1,0.0,1,6,3,3,4,4,5,0
Bryan Gil, ESP,MF,Tottenham,21,2001,0.4,0,0,0,0,0,0,2,0.0,2,2,0,2,2,2,0,0
Gilberto, BRA,DF,Benfica,29,1993,2.2,5,5,4,1,0,3,6,50.0,3,3,0,3,6,11,5,0
Olivier Giroud, FRA,FW,Milan,35,1986,10.4,7,6,1,5,1,3,9,33.3,6,7,0,7,2,9,15,0
Serge Gnabry, GER,"FW,MF",Bayern Munich,27,1995,3.8,8,3,4,3,1,2,11,18.2,9,6,0,6,0,8,2,0
Sean Goldberg, ISR,DF,Maccabi Haifa,27,1995,6.0,10,6,7,3,0,4,6,66.7,2,6,4,2,4,14,24,0
Connor Goldson, ENG,DF,Rangers,29,1992,3.5,6,3,1,5,0,3,7,42.9,4,8,3,5,5,11,19,0
Joe Gomez, ENG,DF,Liverpool,25,1997,3.3,4,2,2,2,0,3,3,100.0,0,2,1,1,5,9,6,2
Papu Gómez, ARG,"FW,MF",Sevilla,34,1988,2.7,2,2,0,1,1,1,3,33.3,2,0,0,0,3,5,0,0
Sergio Gómez, ESP,"DF,MF",Manchester City,21,2000,3.4,4,1,2,2,0,1,2,50.0,1,4,0,4,2,6,2,0
Diogo Gonçalves, POR,"FW,MF",Benfica,25,1997,0.4,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Pedro Gonçalves, POR,"MF,FW",Sporting CP,24,1998,4.0,8,4,3,3,2,5,7,71.4,2,5,0,5,3,11,0,0
Leon Goretzka, GER,MF,Bayern Munich,27,1995,6.7,16,9,6,7,3,6,17,35.3,11,13,3,10,7,23,7,1
Robin Gosens, GER,DF,Inter,28,1994,4.7,20,13,13,5,2,10,14,71.4,4,1,0,1,5,25,10,0
Mario Götze, GER,"MF,FW",Eint Frankfurt,30,1992,5.8,7,3,2,3,2,4,12,33.3,8,5,1,4,3,10,2,0
Lucas Gourna-Douath, FRA,MF,RB Salzburg,18,2003,3.5,12,6,2,10,0,5,9,55.6,4,3,0,3,4,16,1,0
Kamil Grabara, POL,GK,FC Copenhagen,23,1999,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Ryan Gravenberch, NED,MF,Bayern Munich,20,2002,2.8,6,5,2,3,1,2,3,66.7,1,2,1,1,3,9,3,0
Ivo Grbić, CRO,GK,Atlético Madrid,26,1996,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Jack Grealish, ENG,FW,Manchester City,26,1995,10.4,8,5,4,3,1,5,13,38.5,8,10,3,7,4,12,6,0
Antoine Griezmann, FRA,"FW,MF",Atlético Madrid,31,1991,4.5,7,5,3,3,1,4,7,57.1,3,5,1,4,2,9,1,0
Florian Grillitsch, AUT,MF,Ajax,26,1995,0.7,1,1,1,0,0,1,6,16.7,5,1,0,1,0,1,0,0
Álex Grimaldo, ESP,DF,Benfica,26,1995,10.0,25,10,11,8,6,16,33,48.5,17,13,4,9,13,38,17,0
Marko Grujić, SRB,MF,Porto,26,1996,3.1,5,5,4,0,1,2,3,66.7,1,4,1,3,4,9,11,0
Nemanja Gudelj, SRB,"DF,MF",Sevilla,30,1991,5.5,3,2,2,0,1,1,8,12.5,7,4,2,2,2,5,14,0
Gonçalo Guedes, POR,"FW,MF",Benfica,25,1996,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mattéo Guendouzi, FRA,MF,Marseille,23,1999,4.6,4,3,1,2,1,3,5,60.0,2,3,2,1,6,10,1,0
Raphaël Guerreiro, POR,DF,Dortmund,28,1993,5.3,7,4,2,3,2,1,4,25.0,3,5,2,3,10,17,10,0
Pape Gueye, SEN,MF,Marseille,23,1999,0.4,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
Péter Gulácsi, HUN,GK,RB Leipzig,32,1990,2.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2
İlkay Gündoğan, GER,MF,Manchester City,31,1990,11.0,12,8,5,4,3,4,12,33.3,8,8,1,7,7,19,6,0
Joško Gvardiol, CRO,DF,RB Leipzig,20,2002,6.0,9,6,5,4,0,4,10,40.0,6,3,2,1,4,13,25,1
Erling Haaland, NOR,FW,Manchester City,22,2000,9.3,1,0,0,1,0,1,2,50.0,1,5,0,5,2,3,3,0
Amadou Haidara, MLI,MF,RB Leipzig,24,1998,3.8,12,9,4,7,1,4,5,80.0,1,5,1,4,10,22,4,0
Achraf Hakimi, MAR,"DF,MF",Paris S-G,23,1998,6.4,9,6,4,4,1,3,12,25.0,9,2,0,2,8,17,7,0
Sead Haksabanović, MNE,"MF,FW",Celtic,23,1999,2.5,5,3,2,0,3,5,5,100.0,0,2,0,2,2,7,1,0
Sébastien Haller, CIV,FW,Dortmund,28,1994,1.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Marcel Halstenberg, GER,DF,RB Leipzig,30,1991,1.9,1,0,0,1,0,0,3,0.0,3,2,0,2,6,7,2,0
Amine Harit, MAR,MF,Marseille,25,1997,4.2,1,0,0,1,0,1,2,50.0,1,3,1,2,3,4,1,0
Joe Hart, ENG,GK,Celtic,35,1987,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1
Makoto Hasebe, JPN,DF,Eint Frankfurt,38,1984,2.9,2,2,1,1,0,1,2,50.0,1,7,2,5,2,4,9,0
Reo Hatate, JPN,MF,Celtic,24,1997,5.0,5,1,2,3,0,2,3,66.7,1,4,0,4,3,8,5,0
Milan Havel, CZE,DF,Viktoria Plzeň,27,1994,4.7,12,5,6,3,3,7,8,87.5,1,6,0,6,4,16,12,0
Kai Havertz, GER,"FW,MF",Chelsea,23,1999,6.9,6,3,0,3,3,1,7,14.3,6,9,1,8,1,7,4,0
Eden Hazard, BEL,"FW,MF",Real Madrid,31,1991,1.5,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Thorgan Hazard, BEL,"DF,FW",Dortmund,29,1993,2.2,3,1,1,2,0,3,6,50.0,3,3,1,2,3,6,3,0
Dolev Haziz, ISR,DF,Maccabi Haifa,27,1995,2.3,7,5,4,2,1,4,7,57.1,3,0,0,0,2,9,3,0
Lukáš Hejda, CZE,DF,Viktoria Plzeň,32,1990,5.7,8,3,7,0,1,1,2,50.0,1,9,7,2,7,15,22,0
Jordan Henderson, ENG,MF,Liverpool,32,1990,3.1,7,2,1,2,4,4,7,57.1,3,2,0,2,3,10,1,0
Jack Hendry, SCO,DF,Club Brugge,27,1995,1.0,1,1,0,0,1,0,0,,0,0,0,0,0,1,4,0
Benjamin Henrichs, GER,"DF,MF",RB Leipzig,25,1997,2.2,5,2,3,2,0,5,9,55.6,4,2,1,1,3,8,4,0
Mario Hermoso, ESP,DF,Atlético Madrid,27,1995,1.8,1,1,0,0,1,1,3,33.3,2,2,1,1,2,3,9,0
Lucas Hernández, FRA,DF,Bayern Munich,26,1996,1.9,3,2,3,0,0,2,3,66.7,1,3,2,1,8,11,2,0
Theo Hernández, FRA,DF,Milan,24,1997,10.5,27,16,12,12,3,10,18,55.6,8,7,2,5,6,33,21,2
Son Heung-min, KOR,"MF,FW",Tottenham,30,1992,6.9,10,4,5,2,3,2,8,25.0,6,2,0,2,1,11,3,0
Piero Hincapié, ECU,DF,Leverkusen,20,2002,5.0,19,11,10,8,1,11,15,73.3,4,4,2,2,6,25,14,0
Adam Hložek, CZE,"MF,FW",Leverkusen,20,2002,3.1,2,2,2,0,0,0,3,0.0,3,2,0,2,0,2,7,0
Libor Holík, CZE,DF,Viktoria Plzeň,24,1998,3.2,5,1,3,2,0,4,8,50.0,4,2,0,2,4,9,10,0
Lukáš Hrádecký, FIN,GK,Leverkusen,32,1989,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Callum Hudson-Odoi, ENG,FW,Leverkusen,21,2000,5.1,2,1,1,0,1,2,4,50.0,2,0,0,0,3,5,1,0
Mats Hummels, GER,DF,Dortmund,33,1988,3.5,8,5,3,5,0,4,9,44.4,5,10,5,5,7,15,17,0
Pierre Højbjerg, DEN,MF,Tottenham,26,1995,6.9,12,8,8,3,1,9,20,45.0,11,7,4,3,11,23,6,0
Samuel Iling-Junior, ENG,DF,Juventus,18,2003,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Gonçalo Inácio, POR,DF,Sporting CP,20,2001,6.0,4,1,4,0,0,2,6,33.3,4,7,3,4,5,9,21,0
Isco, ESP,"MF,FW",Sevilla,30,1992,4.4,6,3,3,3,0,3,11,27.3,8,2,0,2,5,11,1,0
Franco Israel, URU,GK,Sporting CP,22,2000,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Luka Ivanušec, CRO,MF,Dinamo Zagreb,23,1998,5.8,7,2,1,6,0,3,7,42.9,4,3,1,2,6,13,1,0
Ryan Jack, SCO,MF,Rangers,30,1992,2.1,4,3,2,2,0,2,2,100.0,0,1,1,0,1,5,1,1
Kristijan Jakić, CRO,DF,Eint Frankfurt,25,1997,6.8,20,9,11,8,1,11,23,47.8,12,7,3,4,3,23,18,2
Reece James, ENG,"DF,MF",Chelsea,22,1999,7.7,14,8,10,4,0,6,15,40.0,9,13,1,12,7,21,11,0
Adnan Januzaj, BEL,"FW,MF",Sevilla,27,1995,0.6,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0
Luis Javier Suárez, COL,FW,Marseille,24,1997,1.3,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,1,0
Elias Jelert, DEN,"DF,MF",FC Copenhagen,19,2003,2.1,4,2,2,2,0,1,4,25.0,3,0,0,0,1,5,1,0
Václav Jemelka, CZE,DF,Viktoria Plzeň,27,1995,4.0,12,7,9,2,1,4,10,40.0,6,7,3,4,5,17,12,0
Valdemar Jensen, DEN,DF,FC Copenhagen,19,2003,3.4,5,5,4,1,0,3,5,60.0,2,5,4,1,5,10,5,0
Moritz Jenz, GER,DF,Celtic,23,1999,6.0,8,4,5,3,0,4,8,50.0,4,16,11,5,8,16,15,1
Juan Jesus, BRA,DF,Napoli,31,1991,2.3,3,1,1,2,0,0,1,0.0,1,5,5,0,1,4,6,0
Erik Jirka, SVK,"FW,MF",Viktoria Plzeň,24,1997,3.0,2,0,2,0,0,1,3,33.3,2,2,1,1,7,9,5,0
Ísak Jóhannesson, ISL,"FW,MF",FC Copenhagen,19,2003,3.2,4,0,2,1,1,3,4,75.0,1,5,0,5,2,6,3,0
Curtis Jones, ENG,"FW,MF",Liverpool,21,2001,1.1,2,0,0,2,0,1,1,100.0,0,3,0,3,1,3,0,0
Frenkie de Jong, NED,MF,Barcelona,25,1997,2.6,4,3,1,3,0,1,3,33.3,2,5,1,4,3,7,2,0
Joan Jordán, ESP,MF,Sevilla,28,1994,2.9,4,2,2,2,0,2,5,40.0,3,6,3,3,4,8,2,1
Jorginho, ITA,MF,Chelsea,30,1991,4.6,14,6,8,4,2,5,7,71.4,2,13,0,13,11,25,6,0
Jota, POR,FW,Celtic,23,1999,3.2,1,0,0,1,0,0,3,0.0,3,3,0,3,3,4,0,0
Diogo Jota, POR,"FW,MF",Liverpool,25,1996,2.9,3,2,2,1,0,1,2,50.0,1,2,0,2,0,3,1,0
Vinicius Júnior, BRA,FW,Real Madrid,22,2000,10.8,10,7,7,3,0,4,12,33.3,8,8,0,8,1,11,1,0
Josip Juranović, CRO,DF,Celtic,26,1995,6.0,12,7,8,3,1,9,11,81.8,2,4,2,2,5,17,9,0
Jutglà, ESP,FW,Club Brugge,23,1999,5.7,2,1,0,2,0,0,1,0.0,1,3,0,3,0,2,2,0
Issa Kaboré, BFA,DF,Marseille,21,2001,1.3,4,3,1,1,2,1,2,50.0,1,1,0,1,0,4,0,0
Pierre Kalulu, FRA,DF,Milan,22,2000,8.3,15,8,11,4,0,4,9,44.4,5,12,6,6,7,22,17,0
Lukáš Kalvach, CZE,MF,Viktoria Plzeň,27,1995,5.5,13,5,6,5,2,4,16,25.0,12,9,0,9,14,27,5,0
Daichi Kamada, JPN,"MF,FW",Eint Frankfurt,25,1996,7.7,17,9,9,6,2,11,19,57.9,8,9,3,6,9,26,7,0
Glen Kamara, FIN,MF,Rangers,26,1995,1.4,0,0,0,0,0,0,1,0.0,1,2,1,1,4,4,1,1
Dijon Kameri, KVX,MF,RB Salzburg,18,2004,1.3,4,2,0,3,1,4,6,66.7,2,1,0,1,1,5,0,0
Kevin Kampl, SVN,MF,RB Leipzig,31,1990,3.0,8,6,4,3,1,2,3,66.7,1,1,0,1,3,11,2,1
Harry Kane, ENG,FW,Tottenham,29,1993,8.0,1,0,0,1,0,0,3,0.0,3,2,1,1,2,3,6,0
N'Golo Kanté, FRA,MF,Chelsea,31,1991,1.8,3,2,0,0,3,2,4,50.0,2,2,0,2,2,5,0,0
Mamoudou Karamoko, FRA,FW,FC Copenhagen,22,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Moise Kean, ITA,"FW,MF",Juventus,22,2000,1.2,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
Ryan Kent, ENG,"FW,MF",Rangers,25,1996,5.6,6,3,3,1,2,1,3,33.3,2,4,0,4,1,7,0,0
Franck Kessié, CIV,MF,Barcelona,25,1996,3.0,6,2,2,3,1,2,3,66.7,1,2,0,2,2,8,0,0
Davit Khocholava, GEO,DF,FC Copenhagen,29,1993,4.8,2,1,2,0,0,2,3,66.7,1,4,3,1,10,12,21,0
Joshua Kimmich, GER,MF,Bayern Munich,27,1995,9.0,19,11,9,9,1,8,27,29.6,19,18,5,13,20,39,7,0
Presnel Kimpembe, FRA,DF,Paris S-G,26,1995,1.6,2,2,1,1,0,0,0,,0,1,0,1,2,4,2,0
Leon King, SCO,DF,Rangers,18,2004,4.2,10,5,8,1,1,3,11,27.3,8,5,2,3,5,15,12,0
Simon Kjær, DEN,DF,Milan,33,1989,5.6,6,4,4,2,0,5,8,62.5,3,10,5,5,6,12,24,0
Maurits Kjærgaard, DEN,MF,RB Salzburg,19,2003,5.5,21,11,6,10,5,9,18,50.0,9,10,2,8,4,25,2,0
Davy Klaassen, NED,MF,Ajax,29,1993,2.4,0,0,0,0,0,0,4,0.0,4,1,0,1,0,0,2,0
Jan Kliment, CZE,FW,Viktoria Plzeň,28,1993,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Lukas Klostermann, GER,DF,RB Leipzig,26,1996,0.6,3,1,3,0,0,2,2,100.0,0,3,1,2,0,3,0,0
Ansgar Knauff, GER,"DF,FW",Eint Frankfurt,20,2002,3.3,9,6,7,2,0,0,6,0.0,6,3,1,2,6,15,1,0
Gregor Kobel, SUI,GK,Dortmund,24,1997,3.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Philipp Köhn, SUI,GK,RB Salzburg,24,1998,6.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Sekou Koita, MLI,FW,RB Salzburg,22,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Koke, ESP,MF,Atlético Madrid,30,1992,3.7,2,1,1,1,0,0,3,0.0,3,2,1,1,1,3,0,0
Sead Kolašinac, BIH,DF,Marseille,29,1993,1.7,5,3,3,2,0,3,4,75.0,1,1,0,1,1,6,3,0
Randal Kolo Muani, FRA,FW,Eint Frankfurt,23,1998,5.7,4,4,1,2,1,0,0,,0,4,2,2,2,6,0,0
Ibrahima Konaté, FRA,DF,Liverpool,23,1999,2.9,6,5,4,2,0,3,3,100.0,0,4,3,1,1,7,11,0
Geoffrey Kondogbia, CTA,MF,Atlético Madrid,29,1993,2.5,8,4,1,6,1,5,5,100.0,0,4,0,4,7,15,2,0
Yukhym Konoplia, UKR,DF,Shakhtar,22,1999,4.6,10,7,3,6,1,5,11,45.5,6,8,1,7,2,12,12,1
Jan Kopic, CZE,"FW,MF",Viktoria Plzeň,32,1990,0.9,1,1,1,0,0,1,3,33.3,2,1,0,1,1,2,0,0
Odilon Kossonou, CIV,DF,Leverkusen,21,2001,4.8,10,6,7,3,0,5,5,100.0,0,3,1,2,4,14,20,0
Filip Kostić, SRB,"DF,FW",Juventus,29,1992,4.8,8,4,3,2,3,6,16,37.5,10,3,1,2,0,8,4,0
Kalidou Koulibaly, SEN,DF,Chelsea,31,1991,6.3,12,7,9,2,1,7,11,63.6,4,17,6,11,8,20,21,0
Jules Koundé, FRA,DF,Barcelona,23,1998,2.7,7,3,5,2,0,7,8,87.5,1,1,1,0,3,10,2,0
Mateo Kovačić, CRO,MF,Chelsea,28,1994,6.9,11,5,3,7,1,8,16,50.0,8,8,1,7,6,17,2,0
Adam Kronus, CZE,FW,Viktoria Plzeň,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Toni Kroos, GER,MF,Real Madrid,32,1990,9.4,26,16,11,12,3,11,18,61.1,7,7,2,5,9,35,2,0
Rade Krunić, BIH,"MF,FW",Milan,28,1993,9.1,17,11,10,5,2,7,21,33.3,14,15,8,7,7,24,8,1
Dmytro Kryskiv, UKR,MF,Shakhtar,21,2000,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Serhiy Kryvtsov, UKR,DF,Shakhtar,31,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dejan Kulusevski, SWE,"MF,DF",Tottenham,22,2000,2.2,5,3,0,4,1,2,4,50.0,2,4,0,4,1,6,0,0
Khvicha Kvaratskhelia, GEO,FW,Napoli,21,2001,7.7,12,10,8,1,3,8,17,47.1,9,6,0,6,2,14,5,0
Konrad Laimer, AUT,"MF,FW",RB Leipzig,25,1997,2.9,10,6,4,4,2,3,12,25.0,9,4,0,4,2,12,2,0
Érik Lamela, ARG,"FW,MF",Sevilla,30,1992,3.1,4,1,3,1,0,2,3,66.7,1,6,0,6,2,6,0,0
Noa Lang, NED,FW,Club Brugge,23,1999,3.2,7,3,3,2,2,1,4,25.0,3,3,0,3,0,7,1,0
Aymeric Laporte, ESP,DF,Manchester City,28,1994,3.2,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,4,0
Cyle Larin, CAN,"FW,MF",Club Brugge,27,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rasmus Lauritsen, DEN,DF,Dinamo Zagreb,26,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Neta Lavi, ISR,MF,Maccabi Haifa,25,1996,5.2,23,17,12,10,1,7,20,35.0,13,5,0,5,9,32,6,0
Rafael Leão, POR,"FW,MF",Milan,23,1999,10.1,3,2,1,1,1,1,1,100.0,0,2,0,2,3,6,7,0
Thomas Lemar, FRA,MF,Atlético Madrid,26,1995,1.2,1,1,0,0,1,0,1,0.0,1,2,0,2,1,2,0,0
Clément Lenglet, FRA,DF,Tottenham,27,1995,5.6,15,8,7,7,1,6,8,75.0,2,6,3,3,7,22,16,0
Christopher Lenz, GER,DF,Eint Frankfurt,27,1994,2.5,6,2,3,3,0,4,6,66.7,2,4,0,4,4,10,4,0
Lukas Lerager, DEN,MF,FC Copenhagen,29,1993,5.0,8,4,4,3,1,3,9,33.3,6,6,0,6,14,22,5,0
Robert Lewandowski, POL,FW,Barcelona,33,1988,4.9,5,4,0,1,4,1,1,100.0,0,3,0,3,1,6,6,0
Rico Lewis, ENG,DF,Manchester City,17,2004,1.3,1,1,0,1,0,0,0,,0,2,1,1,0,1,0,0
Matthijs de Ligt, NED,DF,Bayern Munich,22,1999,6.8,5,3,2,3,0,1,3,33.3,2,6,4,2,10,15,21,0
Jesper Lindstrøm, DEN,"MF,FW",Eint Frankfurt,22,2000,5.6,4,2,3,1,0,1,5,20.0,4,11,0,11,2,6,1,0
Dominik Livaković, CRO,GK,Dinamo Zagreb,27,1995,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Robert Ljubicic, AUT,"FW,DF",Dinamo Zagreb,23,1999,6.0,13,6,7,4,2,7,18,38.9,11,10,1,9,10,23,7,0
Marcos Llorente, ESP,"MF,FW",Atlético Madrid,27,1995,2.4,2,1,1,1,0,1,1,100.0,0,3,0,3,2,4,3,0
Hugo Lloris, FRA,GK,Tottenham,35,1986,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Danny Loader, ENG,"FW,MF",Porto,21,2000,0.6,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Stanislav Lobotka, SVK,MF,Napoli,27,1994,9.7,21,11,7,10,4,11,20,55.0,9,7,2,5,5,26,3,1
Manuel Locatelli, ITA,MF,Juventus,24,1998,2.5,9,5,2,3,4,4,6,66.7,2,6,0,6,2,11,2,0
Ruben Loftus-Cheek, ENG,MF,Chelsea,26,1996,3.2,7,4,0,6,1,2,3,66.7,1,5,2,3,7,14,3,0
Pau López, ESP,GK,Marseille,27,1994,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Alexander lowry, SCO,MF,Rangers,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hirving Lozano, MEX,FW,Napoli,27,1995,5.2,10,6,4,1,5,5,11,45.5,6,7,0,7,2,12,3,0
Florentino Luís, POR,MF,Benfica,22,1999,9.5,26,15,8,18,0,9,31,29.0,22,11,1,10,27,53,15,0
Romelu Lukaku, BEL,FW,Inter,29,1993,2.1,3,3,0,1,2,1,1,100.0,0,1,0,1,0,3,3,0
John Lundstram, ENG,"MF,DF",Rangers,28,1994,5.0,6,3,2,4,0,5,15,33.3,10,4,1,3,9,15,12,0
Andriy Lunin, UKR,GK,Real Madrid,23,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mahir Madatov, AZE,FW,Dinamo Zagreb,25,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Daizen Maeda, JPN,FW,Celtic,24,1997,3.7,7,3,0,5,2,1,4,25.0,3,9,2,7,7,14,1,0
Riyad Mahrez, ALG,"FW,MF",Manchester City,31,1991,5.6,9,5,1,3,5,5,9,55.6,4,1,0,1,1,10,1,0
Mike Maignan, FRA,GK,Milan,27,1995,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Donyell Malen, NED,"FW,MF",Dortmund,23,1999,2.8,1,0,1,0,0,0,0,,0,3,0,3,2,3,1,0
Reinildo Mandava, MOZ,DF,Atlético Madrid,28,1994,5.7,11,8,9,2,0,9,10,90.0,1,8,1,7,5,16,7,0
Sadio Mané, SEN,FW,Bayern Munich,30,1992,6.1,10,6,1,4,5,4,5,80.0,1,10,1,9,4,14,2,0
Iván Marcano, ESP,DF,Porto,35,1987,3.0,2,1,2,0,0,1,4,25.0,3,6,4,2,4,6,12,0
Marcão, BRA,DF,Sevilla,26,1996,2.5,7,5,3,4,0,5,6,83.3,1,7,2,5,1,8,9,0
José María Giménez, URU,DF,Atlético Madrid,27,1995,4.5,6,3,4,2,0,4,7,57.1,3,3,2,1,6,12,20,0
Mariano, DOM,FW,Real Madrid,28,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Antonio Marin, CRO,FW,Dinamo Zagreb,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
João Mário, POR,FW,Benfica,29,1993,9.6,12,8,2,6,4,6,17,35.3,11,7,0,7,5,17,8,0
João Mário Lopes, POR,DF,Porto,22,2000,3.0,8,4,2,4,2,4,7,57.1,3,4,2,2,3,11,5,1
Marquinhos, BRA,DF,Paris S-G,28,1994,7.3,5,3,2,3,0,4,7,57.1,3,7,4,3,3,8,20,0
José Marsà, ESP,DF,Sporting CP,20,2002,1.1,1,0,1,0,0,0,1,0.0,1,1,0,1,1,2,6,0
Lautaro Martínez, ARG,FW,Inter,24,1997,11.1,16,12,4,5,7,6,14,42.9,8,12,1,11,9,25,8,0
Toni Martínez, ESP,FW,Porto,25,1997,1.3,7,4,1,4,2,2,2,100.0,0,1,0,1,0,7,0,0
Clinton Mata, ANG,DF,Club Brugge,29,1992,1.8,1,1,1,0,0,1,4,25.0,3,2,0,2,4,5,2,1
Pape Matar Sarr, SEN,MF,Tottenham,19,2002,1.0,5,3,3,1,1,2,3,66.7,1,1,0,1,1,6,0,0
